marital,sibs,childs,age,educ,adults,happy,dwelown
never_married,6.0,1.0,37.0,16.0,2.0,3.0,rents
divorced,4.0,5.0,40.0,12.0,2.0,2.0,rents
married,5.0,2.0,30.0,14.0,2.0,2.0,rents
married,3.0,0.0,28.0,16.0,2.0,3.0,owns
married,1.0,0.0,29.0,18.0,2.0,3.0,owns
married,4.0,0.0,29.0,14.0,2.0,3.0,other
married,8.0,3.0,36.0,13.0,2.0,3.0,rents
never_married,6.0,0.0,22.0,12.0,4.0,2.0,rents
married,1.0,0.0,31.0,18.0,2.0,3.0,owns
divorced,1.0,5.0,77.0,20.0,1.0,3.0,owns
married,5.0,5.0,39.0,12.0,2.0,2.0,rents
never_married,1.0,3.0,40.0,14.0,1.0,3.0,other
divorced,5.0,1.0,66.0,15.0,1.0,2.0,owns
married,1.0,0.0,33.0,17.0,2.0,3.0,owns
never_married,1.0,0.0,58.0,18.0,1.0,2.0,rents
never_married,5.0,1.0,31.0,16.0,2.0,3.0,rents
married,0.0,2.0,43.0,11.0,2.0,3.0,owns
married,2.0,1.0,55.0,15.0,1.0,3.0,rents
divorced,3.0,7.0,45.0,16.0,1.0,1.0,other
widowed,11.0,2.0,88.0,12.0,1.0,1.0,other
never_married,7.0,0.0,44.0,20.0,2.0,2.0,other
married,2.0,1.0,46.0,14.0,2.0,2.0,other
married,2.0,0.0,26.0,17.0,2.0,3.0,owns
widowed,1.0,4.0,68.0,9.0,1.0,2.0,owns
never_married,2.0,0.0,18.0,12.0,4.0,2.0,other
married,10.0,2.0,56.0,12.0,2.0,3.0,owns
never_married,1.0,0.0,28.0,14.0,2.0,2.0,rents
divorced,1.0,1.0,77.0,16.0,1.0,2.0,owns
never_married,7.0,0.0,26.0,11.0,2.0,2.0,rents
never_married,2.0,0.0,38.0,16.0,1.0,2.0,rents
widowed,7.0,1.0,63.0,20.0,2.0,2.0,rents
never_married,4.0,0.0,30.0,14.0,2.0,2.0,rents
divorced,0.0,1.0,55.0,16.0,1.0,1.0,other
divorced,2.0,1.0,67.0,17.0,1.0,3.0,rents
never_married,0.0,0.0,99.0,13.0,1.0,2.0,rents
never_married,1.0,0.0,26.0,15.0,1.0,3.0,rents
never_married,2.0,0.0,37.0,17.0,2.0,3.0,owns
never_married,11.0,0.0,37.0,14.0,1.0,3.0,rents
divorced,0.0,3.0,62.0,14.0,1.0,2.0,owns
never_married,1.0,0.0,22.0,14.0,1.0,2.0,other
separated,4.0,0.0,46.0,16.0,1.0,2.0,rents
divorced,6.0,3.0,55.0,15.0,1.0,2.0,rents
never_married,2.0,0.0,32.0,17.0,2.0,2.0,rents
never_married,2.0,0.0,23.0,15.0,2.0,3.0,rents
married,3.0,2.0,28.0,12.0,2.0,3.0,other
never_married,5.0,0.0,30.0,6.0,2.0,2.0,other
married,6.0,2.0,48.0,5.0,2.0,3.0,rents
never_married,5.0,3.0,37.0,12.0,2.0,2.0,owns
married,7.0,3.0,34.0,6.0,2.0,2.0,other
married,5.0,0.0,20.0,12.0,2.0,2.0,rents
married,8.0,5.0,71.0,9.0,2.0,2.0,owns
divorced,9.0,4.0,59.0,12.0,1.0,3.0,rents
never_married,0.0,2.0,36.0,12.0,1.0,3.0,other
married,0.0,2.0,34.0,16.0,2.0,3.0,owns
widowed,4.0,1.0,59.0,12.0,2.0,2.0,owns
widowed,17.0,7.0,83.0,8.0,1.0,3.0,owns
married,2.0,1.0,37.0,14.0,2.0,3.0,owns
never_married,1.0,1.0,32.0,15.0,2.0,2.0,rents
never_married,0.0,0.0,27.0,16.0,1.0,2.0,rents
married,2.0,2.0,56.0,16.0,2.0,3.0,owns
never_married,0.0,2.0,28.0,16.0,2.0,2.0,other
never_married,3.0,0.0,24.0,12.0,3.0,1.0,other
married,6.0,5.0,69.0,10.0,2.0,2.0,other
married,12.0,4.0,53.0,6.0,5.0,2.0,other
married,7.0,2.0,36.0,12.0,2.0,2.0,other
married,9.0,3.0,32.0,12.0,2.0,3.0,other
married,11.0,3.0,27.0,6.0,2.0,3.0,other
divorced,0.0,4.0,65.0,13.0,1.0,2.0,owns
married,8.0,1.0,29.0,12.0,3.0,2.0,rents
divorced,3.0,0.0,62.0,12.0,1.0,3.0,other
married,6.0,0.0,36.0,12.0,2.0,2.0,rents
never_married,4.0,0.0,22.0,12.0,2.0,1.0,rents
separated,5.0,1.0,35.0,12.0,1.0,2.0,owns
divorced,2.0,4.0,49.0,14.0,2.0,2.0,rents
married,3.0,2.0,48.0,14.0,2.0,2.0,owns
never_married,3.0,0.0,27.0,14.0,2.0,2.0,rents
never_married,5.0,0.0,23.0,11.0,1.0,3.0,rents
never_married,3.0,0.0,43.0,16.0,1.0,1.0,rents
never_married,1.0,0.0,32.0,16.0,2.0,2.0,other
separated,5.0,1.0,44.0,14.0,1.0,1.0,other
never_married,1.0,0.0,21.0,15.0,2.0,2.0,owns
divorced,3.0,2.0,43.0,14.0,1.0,2.0,other
married,2.0,1.0,36.0,13.0,3.0,3.0,rents
divorced,4.0,2.0,42.0,15.0,1.0,2.0,rents
