Model,FPR,TPR
RF more features,0.32794340576,0.72256097561
RF more features,0.32794340576,0.725609756098
RF more features,0.344618494189,0.725609756098
RF more features,0.344618494189,0.728658536585
RF more features,0.345629105609,0.728658536585
RF more features,0.345629105609,0.731707317073
RF more features,0.347145022739,0.731707317073
RF more features,0.347145022739,0.734756097561
RF more features,0.352198079838,0.734756097561
RF more features,0.352198079838,0.737804878049
RF more features,0.367862556847,0.737804878049
RF more features,0.367862556847,0.740853658537
RF more features,0.368367862557,0.740853658537
RF more features,0.368367862557,0.743902439024
RF more features,0.368873168267,0.743902439024
RF more features,0.368873168267,0.746951219512
RF more features,0.370389085397,0.746951219512
RF more features,0.370389085397,0.75
RF more features,0.378473976756,0.75
RF more features,0.378473976756,0.753048780488
RF more features,0.384032339565,0.753048780488
RF more features,0.384032339565,0.756097560976
RF more features,0.392117230925,0.756097560976
RF more features,0.392117230925,0.759146341463
RF more features,0.392622536635,0.759146341463
RF more features,0.392622536635,0.762195121951
RF more features,0.408792319353,0.762195121951
RF more features,0.408792319353,0.765243902439
RF more features,0.410308236483,0.765243902439
RF more features,0.410308236483,0.768292682927
RF more features,0.410813542193,0.768292682927
RF more features,0.410813542193,0.774390243902
RF more features,0.426478019202,0.774390243902
RF more features,0.426478019202,0.77743902439
RF more features,0.434562910561,0.77743902439
RF more features,0.434562910561,0.780487804878
RF more features,0.43961596766,0.780487804878
RF more features,0.43961596766,0.783536585366
RF more features,0.44820616473,0.783536585366
RF more features,0.44820616473,0.786585365854
RF more features,0.452248610409,0.786585365854
RF more features,0.452248610409,0.789634146341
RF more features,0.457806973219,0.789634146341
RF more features,0.457806973219,0.792682926829
RF more features,0.463365336028,0.792682926829
RF more features,0.463365336028,0.795731707317
RF more features,0.464375947448,0.795731707317
RF more features,0.464375947448,0.798780487805
RF more features,0.465386558868,0.798780487805
RF more features,0.465386558868,0.801829268293
RF more features,0.465891864578,0.801829268293
RF more features,0.465891864578,0.807926829268
RF more features,0.469934310258,0.807926829268
RF more features,0.469934310258,0.810975609756
RF more features,0.471450227388,0.810975609756
RF more features,0.471450227388,0.814024390244
RF more features,0.474482061647,0.814024390244
RF more features,0.474482061647,0.82012195122
RF more features,0.477513895907,0.82012195122
RF more features,0.477513895907,0.823170731707
RF more features,0.481556341587,0.823170731707
RF more features,0.481556341587,0.826219512195
RF more features,0.486104092976,0.826219512195
RF more features,0.486104092976,0.829268292683
RF more features,0.488125315816,0.829268292683
RF more features,0.488125315816,0.832317073171
RF more features,0.496715512885,0.832317073171
RF more features,0.496715512885,0.835365853659
RF more features,0.505305709955,0.835365853659
RF more features,0.505305709955,0.838414634146
RF more features,0.512885295604,0.838414634146
RF more features,0.512885295604,0.841463414634
RF more features,0.518948964123,0.841463414634
RF more features,0.518948964123,0.844512195122
RF more features,0.520464881253,0.844512195122
RF more features,0.520464881253,0.84756097561
RF more features,0.520970186963,0.84756097561
RF more features,0.520970186963,0.850609756098
RF more features,0.521980798383,0.850609756098
RF more features,0.521980798383,0.853658536585
RF more features,0.523496715513,0.853658536585
RF more features,0.523496715513,0.856707317073
